Year,School,City,County/State/ Territory,Count,All,African American,American Indian,Hispanic/ Latinx,Pacific Islander,Asian,White,Domestic Unknown,Int'l
2012,ARROYO HIGH SCHOOL,San Lorenzo,Alameda,App,62,,,16,,34,7,,
2012,ARROYO HIGH SCHOOL,San Lorenzo,Alameda,Adm,3,,,,,,,,
2012,ARROYO HIGH SCHOOL,San Lorenzo,Alameda,Enr,,,,,,,,,
2012,ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,App,26,6,,20,,,,,
2012,ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,Adm,6,,,4,,,,,
2012,ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,Enr,4,,,,,,,,
2012,ARVIN HIGH SCHOOL,Arvin,Kern,App,17,,,15,,,,,
2012,ARVIN HIGH SCHOOL,Arvin,Kern,Adm,,,,,,,,,
2012,ARVIN HIGH SCHOOL,Arvin,Kern,Enr,,,,,,,,,
2012,ASPIRE BENJAMIN HOLT COLG PREP,Stockton,San Joaquin,App,19,,,7,,7,,,
2012,ASPIRE BENJAMIN HOLT COLG PREP,Stockton,San Joaquin,Adm,3,,,,,,,,
2012,ASPIRE BENJAMIN HOLT COLG PREP,Stockton,San Joaquin,Enr,,,,,,,,,
2012,ATASCADERO HIGH SCHOOL,Atascadero,San Luis Obispo,App,7,,,,,,,,
2012,ATASCADERO HIGH SCHOOL,Atascadero,San Luis Obispo,Adm,,,,,,,,,
2012,ATASCADERO HIGH SCHOOL,Atascadero,San Luis Obispo,Enr,,,,,,,,,
2012,ATWATER HIGH SCHOOL,Atwater,Merced,App,17,,,11,,,,,
2012,ATWATER HIGH SCHOOL,Atwater,Merced,Adm,,,,,,,,,
2012,ATWATER HIGH SCHOOL,Atwater,Merced,Enr,,,,,,,,,
2012,AVALON HIGH SCHOOL,Avalon,Los Angeles,App,,,,,,,,,
2012,AVALON HIGH SCHOOL,Avalon,Los Angeles,Adm,,,,,,,,,
2012,AVALON HIGH SCHOOL,Avalon,Los Angeles,Enr,,,,,,,,,
2012,AVENAL HIGH SCHOOL,Avenal,Kings,App,6,,,,,,,,
2012,AVENAL HIGH SCHOOL,Avenal,Kings,Adm,,,,,,,,,
2012,AVENAL HIGH SCHOOL,Avenal,Kings,Enr,,,,,,,,,
2012,AZUSA HIGH SCHOOL,Azusa,Los Angeles,App,15,,,11,,,,,
2012,AZUSA HIGH SCHOOL,Azusa,Los Angeles,Adm,3,,,,,,,,
2012,AZUSA HIGH SCHOOL,Azusa,Los Angeles,Enr,,,,,,,,,
2012,BAKERSFIELD HIGH SCHOOL,Bakersfield,Kern,App,22,,,6,,,7,,
2012,BAKERSFIELD HIGH SCHOOL,Bakersfield,Kern,Adm,6,,,,,,,,
2012,BAKERSFIELD HIGH SCHOOL,Bakersfield,Kern,Enr,3,,,,,,,,
2012,BALBOA HIGH SCHOOL,San Francisco,San Francisco,App,82,,,,,74,,,
2012,BALBOA HIGH SCHOOL,San Francisco,San Francisco,Adm,12,,,,,,,,
